target_word,rank,human_similar_word,human_similarity,ai_similar_word,ai_similarity
사랑,1,증오,0.7592623829841614,청구,0.988408625125885
사랑,2,사랑받다,0.7513684630393982,헌법소원,0.6841996908187866
사랑,3,마법,0.7379772663116455,원상회복,0.6757915616035461
사랑,4,소망,0.7363287210464478,위자료,0.6596053838729858
사랑,5,행복감,0.728510856628418,강제집행,0.657040536403656
사랑,6,베풀다,0.7254553437232971,국가배상,0.6563676595687866
사랑,7,자각,0.7244538068771362,중단,0.6546705365180969
사랑,8,지혜,0.7239064574241638,가해자,0.650765597820282
사랑,9,미움,0.7229124903678894,부당이득,0.6488596796989441
사랑,10,괴로움,0.7185253500938416,상대로,0.6474566459655762
행복,1,행복감,0.7917908430099487,다툼,0.3155393898487091
행복,2,지혜,0.7765287756919861,생기,0.2932968735694885
행복,3,자각,0.769673764705658,사전,0.27187228202819824
행복,4,소망,0.7659381628036499,형사소송,0.2715825140476227
행복,5,본능,0.761603832244873,느낌,0.26878562569618225
행복,6,풍요,0.7596811056137085,상대평가,0.26583391427993774
행복,7,로운,0.7592339515686035,만들기,0.2657490372657776
행복,8,보람,0.7482297420501709,부분,0.25915583968162537
행복,9,조화롭다,0.7473533749580383,생기다,0.2527015507221222
행복,10,현대인,0.746547281742096,후자,0.2526135742664337
생각,1,가위바위보,0.6010900139808655,말로,0.7075185179710388
생각,2,지극히,0.5922026038169861,질문,0.681513249874115
생각,3,다기,0.590785801410675,듣다,0.6199693083763123
생각,4,"."",",0.5834866166114807,듣기,0.6187885403633118
생각,5,고정관념,0.5818707346916199,요약,0.6058866381645203
생각,6,외롭다,0.581258237361908,의견,0.5873579978942871
생각,7,하루아침,0.5807629823684692,법도,0.5713037252426147
생각,8,곰곰,0.5797813534736633,응답,0.552676796913147
생각,9,시련,0.5787922739982605,단편,0.5414659380912781
생각,10,너무나도,0.5759009718894958,던지다,0.5376951098442078
사회,1,사회인,0.7261565327644348,사회생활,0.6254062652587891
사회,2,명사회,0.6931061148643494,공동체,0.6222503185272217
사회,3,사회자,0.6889024376869202,평생교육,0.6188387870788574
사회,4,사회학,0.6487132906913757,특수교육,0.5935791730880737
사회,5,사회보장,0.6423470377922058,인성,0.5887039303779602
사회,6,사회생활,0.6381663680076599,시민,0.5847618579864502
사회,7,사회과학,0.6365862488746643,가치관,0.5760123133659363
사회,8,경제력,0.5986144542694092,통합교육,0.5692647695541382
사회,9,경제활동,0.5948061943054199,장이,0.5669888854026794
사회,10,자본주의,0.5926523804664612,으로서의,0.5524676442146301
인간,1,비인간,0.7158073782920837,존엄,0.6788397431373596
인간,2,인간성,0.7032199501991272,신체,0.6740050315856934
인간,3,산물,0.6493719816207886,다운,0.6623495221138
인간,4,존엄성,0.6392998695373535,전인,0.6218591928482056
인간,5,실존,0.6366648077964783,으로서의,0.6140179634094238
인간,6,동물,0.6211651563644409,인격권,0.592263400554657
인간,7,실재,0.6105684638023376,재산권,0.5903238654136658
인간,8,존엄,0.6014968156814575,성숙,0.5774787068367004
인간,9,당위,0.5934837460517883,평등권,0.563774585723877
인간,10,지성,0.5924887657165527,인격,0.5587962865829468
시간,1,시간대,0.686145007610321,오랜,0.595238983631134
시간,2,장시간,0.66518634557724,걸치다,0.5848918557167053
시간,3,3시간,0.6462578773498535,걸리다,0.5717370510101318
시간,4,2시간,0.6422252058982849,동안,0.5681034922599792
시간,5,휴식시간,0.6393521428108215,세월,0.5592926144599915
시간,6,시간관리,0.6172001957893372,대학생,0.5548028945922852
시간,7,1시간,0.6168738007545471,장시간,0.5527334809303284
시간,8,시간표,0.6156551241874695,시간표,0.5510276556015015
시간,9,하루,0.6083912253379822,자격증,0.542270302772522
시간,10,시간제,0.5888026356697083,아르바이트,0.5406925082206726
